epoch,train_Acc,train_F1,train_Prec,train_Rec,train_Loss,val_Acc,val_F1,val_Prec,val_Rec,val_Loss
1,0.2941492199897766,0.29252079129219055,0.2922200858592987,0.29294097423553467,4.642733839974887,0.39743590354919434,0.3595159947872162,0.37341204285621643,0.3898501992225647,3.2179337532092362
2,0.38164252042770386,0.38027581572532654,0.38107454776763916,0.3799436390399933,3.2142630569152915,0.44102564454078674,0.4045042395591736,0.41544678807258606,0.43310075998306274,2.647289491311098
3,0.4004294276237488,0.39770764112472534,0.39749836921691895,0.39825770258903503,2.5797235762247523,0.45897436141967773,0.4399125277996063,0.468608558177948,0.4605351388454437,2.219198528314248
4,0.4417605996131897,0.4413101375102997,0.44160425662994385,0.4412038028240204,2.3087235714118455,0.4615384638309479,0.4328794777393341,0.43916594982147217,0.4476957321166992,2.081277373509529
5,0.43209877610206604,0.4306557774543762,0.4306780695915222,0.4307844638824463,2.241846159716415,0.48461538553237915,0.43434473872184753,0.465371698141098,0.4711276590824127,2.350401564057057
6,0.4675254821777344,0.4653710126876831,0.46496427059173584,0.4658467471599579,2.0274428330757766,0.4153846204280853,0.36141449213027954,0.4592169523239136,0.4098764657974243,2.594390946168166
7,0.4643048942089081,0.4604943096637726,0.4609498977661133,0.46090155839920044,2.033103043330464,0.49743589758872986,0.4873701333999634,0.4959869682788849,0.4930596649646759,1.8615934628706712
8,0.49597424268722534,0.49462616443634033,0.495054692029953,0.4942537546157837,1.8142816335746696,0.4923076927661896,0.47309887409210205,0.48810532689094543,0.48592129349708557,1.9270244436386303
9,0.4755770266056061,0.47438865900039673,0.47421374917030334,0.47498247027397156,1.834596327409524,0.42820513248443604,0.3739977180957794,0.4382496774196625,0.4135398864746094,2.435043298281156
10,0.5115405321121216,0.5100076794624329,0.5111469030380249,0.5092136263847351,1.7134515618484505,0.5,0.48270276188850403,0.5109017491340637,0.4972419738769531,1.8044746646514305
11,0.512077271938324,0.5104591846466064,0.5119976997375488,0.5094348192214966,1.6879547043507035,0.482051283121109,0.48092594742774963,0.4898836016654968,0.4804033935070038,1.6479864340562087
12,0.5292539000511169,0.5271007418632507,0.5268071889877319,0.528205931186676,1.4721587385084447,0.43589743971824646,0.337388813495636,0.4725368320941925,0.4348330497741699,2.7573532776954846
13,0.49329039454460144,0.48964717984199524,0.4896673560142517,0.49003201723098755,1.6823243666130308,0.45384615659713745,0.39332595467567444,0.5208678245544434,0.4539988934993744,2.40814333206568
14,0.512077271938324,0.5096076130867004,0.5100917220115662,0.5095241069793701,1.693443159358321,0.44102564454078674,0.34392181038856506,0.5624501705169678,0.4426686465740204,2.960491994711069
15,0.5158346891403198,0.5148502588272095,0.5155876874923706,0.5142159461975098,1.6898560937348068,0.5076923370361328,0.47039198875427246,0.5069233179092407,0.4962613880634308,1.6967356598530061
16,0.5458937287330627,0.5439696311950684,0.5440356731414795,0.5443320870399475,1.4396699067571121,0.5435897707939148,0.5227499604225159,0.5280637741088867,0.5300325751304626,1.570635666602697
17,0.5700483322143555,0.5675730109214783,0.5672101974487305,0.5684993267059326,1.311213881753173,0.48461538553237915,0.4472354054450989,0.4973822236061096,0.4864307641983032,1.8594412241226588
18,0.5421363115310669,0.5397092700004578,0.5398799180984497,0.5395557880401611,1.3885910231390117,0.4923076927661896,0.4589146077632904,0.4989122748374939,0.48422926664352417,1.8451984900694627
19,0.5609232187271118,0.5609198212623596,0.562096118927002,0.5600504279136658,1.3380878676154955,0.5205128192901611,0.4604606330394745,0.511837899684906,0.49981433153152466,1.8219043083679982
20,0.5292539000511169,0.5264127254486084,0.5263049006462097,0.527108907699585,1.4819523882494776,0.48461538553237915,0.4640467166900635,0.4918203353881836,0.4788544178009033,1.8600542655357948
21,0.5254964828491211,0.5243828892707825,0.5238036513328552,0.525499165058136,1.4587127412446903,0.4615384638309479,0.39533478021621704,0.5197805166244507,0.4624062776565552,2.220941648727808
22,0.5340847969055176,0.5349431037902832,0.5367146730422974,0.533849835395813,1.619917164294232,0.5153846144676208,0.4947015345096588,0.5398924946784973,0.5167420506477356,1.6993932668979352
23,0.5802469253540039,0.5793015956878662,0.5792174935340881,0.5797421932220459,1.2878817305792678,0.4923076927661896,0.44344082474708557,0.5326576828956604,0.4840220808982849,1.9230737588344475
24,0.5738056898117065,0.5730989575386047,0.5735868215560913,0.57266765832901,1.2811478079485112,0.528205156326294,0.4771038293838501,0.5509597063064575,0.5197259187698364,1.7314671852649786
25,0.5652173757553101,0.5615679025650024,0.5620554089546204,0.5614269971847534,1.3098314110463625,0.5512820482254028,0.5271667242050171,0.5413340926170349,0.5377991199493408,1.4970165894581722
26,0.550187885761261,0.548987090587616,0.5491039156913757,0.5491317510604858,1.4980699737674756,0.5538461804389954,0.5382563471794128,0.546246349811554,0.5438513159751892,1.4704234648973513
